min_af,min_dp,min_qual,require_gt,miner_n,tp,fp,fn,precision,recall,f1,gt_match,gt_total
0.1,15,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,15,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,0.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,0.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,0.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,20.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,20.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,20.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,40.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,40.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,40.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,60.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,60.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,60.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,80.0,any,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,80.0,het,0,0,0,13,0.0,0.0,0.0,0,0
0.1,20,80.0,hom-alt,0,0,0,13,0.0,0.0,0.0,0,0
